;win;pick;ban
0;50.83%;15.8%;15.13%
1;47.73%;4.31%;2.66%
2;49%;14.7%;8.24%
3;57.14%;1.37%;2.11%
4;53.33%;6.07%;0.51%
5;54.79%;3.69%;1.61%
6;67.86%;1.37%;0.71%
7;0%;0%;0%
8;45.28%;10.93%;0.4%
9;48.94%;4.75%;0.67%
10;0%;0%;0%
11;46.58%;7.16%;1.58%
12;52.05%;3.69%;1.22%
13;43.53%;4.27%;15.15%
14;39.39%;5.01%;5.58%
15;53.85%;0.66%;0.08%
16;57.5%;2.02%;0.17%
17;50.45%;17.06%;24.25%
18;47.55%;7.51%;1.54%
19;56.52%;1.13%;0.35%
20;55.56%;1.42%;0.36%
21;46.15%;1.27%;0.11%
22;52.17%;3.62%;10.04%
23;56%;2.51%;0.91%
24;51.43%;3.51%;0.64%
25;49.49%;5.1%;29.93%
26;53.79%;6.63%;4.78%
27;70.21%;4.72%;1.49%
28;64%;1.26%;8.61%
29;44.68%;22.27%;1.41%
30;53.85%;0.65%;2.51%
31;53.63%;22.42%;40.33%
32;0%;0%;0%
33;46.86%;8.58%;3.13%
34;54.68%;7.3%;2.21%
35;0%;0%;0%
36;52.38%;2.21%;0.2%
37;32.61%;2.42%;0.25%
38;56.06%;18.62%;27.69%
39;49.09%;2.89%;0.15%
40;46.88%;11.25%;42.19%
41;45.02%;11.68%;26.63%
42;57.89%;2%;0.27%
43;48.89%;9.45%;4.32%
44;0%;0%;0%
45;59.38%;3.24%;2.98%
46;37.5%;1.61%;0.08%
47;48.08%;5.46%;12.05%
48;45.71%;1.84%;0.12%
49;36.18%;7.84%;0.13%
50;0%;0%;0%
51;51.07%;22.11%;21.77%
52;48.83%;22.06%;3.43%
53;52.04%;11.39%;7.46%
54;47.96%;19.82%;3.43%
55;68.42%;0.95%;6.12%
56;59.68%;3.04%;13.26%
57;47.12%;5.1%;10.11%
58;64.41%;3.1%;0.33%
59;47.37%;3.82%;9.07%
60;47.62%;2.21%;2.71%
61;54.29%;3.51%;3.1%
62;56.11%;18.07%;22.91%
63;60%;0.79%;0.16%
64;42.31%;1.34%;0.36%
65;54.89%;6.52%;8.99%
66;52.1%;11.95%;3.8%
67;44.3%;3.99%;0.45%
68;48.54%;5.17%;2.99%
69;42.11%;1.86%;0.09%
70;47.71%;18.04%;13.65%
71;44.34%;5.36%;5.43%
72;53.89%;8.45%;0.63%
73;59.09%;2.21%;8.84%
74;0%;0%;0%
75;0%;0%;0%
76;44%;1.26%;0.15%
77;51.85%;1.39%;0.1%
78;37.14%;1.76%;0.79%
79;47.06%;0.86%;2.12%
80;54.41%;16.64%;8.83%
81;48.28%;1.52%;0.52%
82;47.7%;17.6%;3.57%
83;42.86%;0.71%;0.23%
84;50.56%;4.47%;9.64%
85;57.97%;3.56%;1.39%
86;68.57%;1.72%;0.07%
87;46.43%;1.41%;2.11%
88;45.9%;3.2%;0.77%
89;54.29%;1.72%;0.08%
90;48.65%;3.89%;0.3%
91;0%;0%;0%
92;61.76%;1.71%;0.22%
93;49.55%;11.33%;21.14%
94;47.37%;2.79%;2.76%
95;46.67%;0.79%;0.37%
96;49.7%;8.55%;0.39%
97;38.1%;1.05%;3.86%
98;60.87%;1.15%;2.7%
99;52.05%;3.69%;0.79%
100;51.22%;10.37%;6.32%
101;48.28%;4.57%;2.82%
102;55.81%;2.16%;15.31%
103;55.56%;4.73%;3.06%
104;55.77%;2.61%;0.9%
105;48.66%;10.98%;0.56%
106;0%;0%;0%
107;48.24%;4.27%;0.55%
108;50%;7.18%;0.69%
109;56.76%;1.91%;0.14%
110;53.23%;3.26%;0.26%
111;0%;0%;0%
112;48.72%;2.05%;0.32%
113;43.75%;0.8%;0.25%
114;53.39%;6.2%;1.07%
115;51.43%;1.84%;0.98%
116;0%;0%;0%
117;47.06%;0.89%;0.22%
118;59.26%;2.73%;0.24%
119;52%;7.59%;1.43%
120;42.42%;1.62%;0.27%
121;48.3%;17.25%;9.63%
122;53.16%;19.36%;28.95%
123;61.54%;1.31%;0.12%
124;47.62%;3.09%;1.26%
125;48.53%;3.41%;4.53%
126;55.32%;2.38%;0.3%
127;53.33%;1.58%;1.28%
128;57.14%;5.31%;0.8%
129;50%;4.95%;0.29%
130;30.43%;1.15%;0.54%
131;65.79%;1.86%;1.57%
132;33.33%;1.18%;0.09%
133;54.24%;3.04%;3.89%
134;59.82%;5.62%;9.09%
135;0%;0%;0%
136;47.96%;26.55%;10.17%
137;33.93%;2.89%;2.42%
138;0%;0%;0%
139;0%;0%;0%
140;42.5%;1.96%;5.01%
141;60.66%;3.06%;0.29%
142;44.68%;9.44%;1.14%
143;44.31%;8.18%;2.5%
144;40%;1.72%;1.29%
145;40%;0.79%;0.1%
146;65%;1.05%;1.03%
147;50.98%;10.24%;4.8%
148;54.03%;6.39%;0.04%
149;23.53%;0.86%;0.13%
150;67.53%;3.87%;0.2%
151;46.15%;4.46%;3.35%
152;48.92%;6.81%;2.05%
153;45%;1.05%;0.19%
154;41.06%;7.64%;34.11%
155;54.05%;1.94%;0.82%
156;44.23%;5.1%;11.11%
157;0%;0%;0%
158;61.9%;1.08%;0.11%
159;38.71%;1.57%;1.25%
160;53.38%;6.52%;3.94%
161;47.06%;0.86%;0.1%
